,ts,actual,MEAN,ARF,HTR,SRP
0,0,25.13108336695775,0.0,0.0,0.0,0.0
1,1,11.619190507103434,25.13108336695775,19451.107565523274,3241.851260920547,25.131083366957743
2,2,55.76462030005921,18.375136937030593,18.375136937030593,18.375136937030593,18.535243198329994
3,3,19.22069646841976,30.83829805804013,30.314376238736898,30.83829805804013,30.780777468597524
4,4,42.31345147630525,27.93389766063504,27.798277614166786,27.93389766063504,28.07213339129016
5,5,17.288725854758535,30.80980842376908,31.072692812122042,30.80980842376908,30.824398081085338
6,6,21.63154151062709,28.556294662267323,28.65062062939954,28.556294662267323,28.498041795521367
7,7,50.18048531475784,27.567044212033004,28.082589477807023,27.567044212033004,27.424586210695473
8,8,17.467685049907377,30.393724349873608,31.050894595151146,30.393724349873608,30.08452287739039
9,9,26.735605784512387,28.95749776098847,30.30933089365457,28.95749776098847,28.706693305042073
10,10,33.38336162413978,28.735308563340862,30.249612675410294,28.735308563340862,28.506974316405632
11,11,41.50160203281477,29.15785884159531,31.54228180661398,29.15785884159531,28.94814401390049
12,12,8.992873323007398,30.186504107530265,27.120299429980257,30.186504107530265,30.01856155337838
13,13,8.433702403638518,28.55622481641312,25.262288720927447,28.55622481641312,28.433105835545252
14,14,4.069927325039021,27.11890178692922,24.354286847714455,27.11890178692922,26.966934593017527
15,15,48.777173839035456,25.582303489469876,27.22184975509373,25.582303489469876,25.52686867099789
16,16,5.292951722201329,27.031982886317724,24.11225750039924,27.031982886317724,26.891520681330164
17,17,19.56264608480453,25.753216347252053,27.23393048391095,25.753216347252053,25.59048245127723
18,18,13.499739319583778,25.40929577711608,21.478668961599148,25.40929577711608,25.26942410508551
19,19,65.61284304699733,24.782477016193326,29.163233577164625,24.782477016193326,24.658944586003432
20,20,0.9654267582716358,26.823995317733527,15.386219697808995,26.823995317733527,26.70184299594509
21,21,33.0664019439837,25.592634910140102,29.668755595802033,25.592634910140102,25.49080217915319
22,22,27.98937090187386,25.93235159349663,30.89406675473773,25.93235159349663,25.833383553892023
23,23,38.05427049966424,26.02178721559999,30.197928614448152,26.02178721559999,25.9235124811616
24,24,25.23026365489585,26.523140685769334,30.2759956634114,26.523140685769334,26.443487969710283
25,25,58.95862657999991,26.471425604534396,31.452155017331695,26.471425604534396,26.40089383643585
26,26,64.02722560070225,27.72093333435999,32.21239097093742,27.72093333435999,27.662369977970826
27,27,9.20218525874342,29.065610825706,13.256678524244112,29.065610825706,28.939552126176462
28,28,26.727053628240856,28.35620276974305,31.198360901257768,28.35620276974305,28.564621200925103
29,29,4.52406477140471,28.300025213139527,12.558996950146009,28.300025213139527,27.885081845231877
30,30,40.49815673691981,27.507493198415034,31.04763334531612,27.507493198415034,28.578904523745976
31,31,32.82616956951331,27.926546860947447,31.964644165200305,27.926546860947447,29.545717579049345
32,32,17.971726354549602,28.07966007059013,19.910305050437906,28.07966007059013,23.72313705898247
33,33,17.87631118299911,27.773359048891933,30.06517649822205,27.773359048891933,32.330892328307186
34,34,35.41448260655309,27.482269405777437,30.243108146115866,27.482269405777437,32.98628117010811
35,35,24.89651581050008,27.708904068656743,34.281535910276006,27.708904068656743,35.36630450501217
36,36,35.95520818408015,27.630782172596835,30.49219077807024,27.630782172596835,35.32369567977323
37,37,15.746763797915955,27.85576665939368,30.289441734463907,27.85576665939368,25.947121820970292
38,38,23.673877512548817,27.537108689354792,23.770854849708996,27.537108689354792,15.134451644584722
39,39,20.419786958341007,27.4380514796931,19.082372334426005,27.4380514796931,15.38224171811388
40,40,30.80538050933904,27.2625948666593,28.853218209382163,27.2625948666593,36.49813743116706
41,41,55.31275196623871,27.349004272578316,32.705116636150294,27.349004272578316,36.58749185333423
42,42,31.629011596376543,28.01480778909404,20.123766670695865,28.01480778909404,15.740815064504766
43,43,22.140069281085296,28.09885904042619,27.776018198281115,28.09885904042619,25.76228735653277
44,44,12.920150861230995,27.96343200044117,15.389870149846113,27.96343200044117,16.586121865916137
45,45,48.04224520144068,27.629136864014278,31.92886733280002,27.629136864014278,35.994031943682465
46,46,7.967954916311426,28.072900088740937,21.207152599306365,28.072900088740937,16.738000090958046
47,47,15.141735545859104,27.64513529783818,30.43614555520982,27.64513529783818,36.66068725525716
48,48,26.748601582980832,27.384647803005283,28.42704726770198,27.384647803005283,23.866553430257117
49,49,31.81049924943999,27.371667267902744,32.08251334385099,27.371667267902744,35.50188422278301
50,50,24.01345301362897,27.460443907533488,31.059958668777284,27.460443907533488,36.06763615250193
51,51,21.38746643433214,27.392855850790262,31.723878467652334,27.392855850790262,35.20722495628723
52,52,11.470229495185013,27.277367592781452,21.219855275368083,27.277367592781452,16.576775391114232
53,53,19.83281157617163,26.979119704147557,26.585700380708428,26.979119704147557,34.67292507255189
54,54,58.21335249067606,26.846780664740596,29.31058419533076,26.846780664740596,34.66115332169637
55,55,7.549576171684885,27.417081970666693,15.76254287971399,27.417081970666693,16.49843548155997
56,56,79.42385252732629,27.06230508139916,29.894762947401897,27.06230508139916,35.083128120763654
57,57,23.55737741351053,27.98092872080139,31.098765906366587,27.98092872080139,36.34435831494666
58,58,11.912355236756008,27.904660594813617,16.830425337137022,27.904660594813617,16.329205359032354
59,59,30.811128858122647,27.63360457179569,30.137642430030017,27.63360457179569,36.038707720322726
60,60,17.12707185348559,27.68656330990114,29.765198882851067,27.68656330990114,35.40874457741779
61,61,17.640083393048585,27.51345689258285,29.55509921080853,27.51345689258285,35.36933905731812
62,62,21.43029232015761,27.354208932912943,29.004556230250614,27.354208932912943,35.09123915385547
63,63,11.416503795876867,27.260178510488256,13.261838846846736,27.260178510488256,15.995989461287763
64,64,27.77612089320743,27.012621093072454,29.419101425640335,27.012621093072454,34.00445997078891
65,65,28.98867866558261,27.024367243843763,29.44889957312799,27.024367243843763,34.273711579362526
66,66,14.976780286599006,27.054129538112534,24.91797672824096,27.054129538112534,23.301467899139983
67,67,31.892136696636275,26.873870594060094,30.731479982849855,26.873870594060094,33.7544050169538
68,68,1.5326654938791673,26.94766862498033,15.04068481657034,26.94766862498033,16.19514481366458
69,69,35.1139664325756,26.57933524626872,30.78552266210283,26.57933524626872,33.887555077030704
70,70,29.33801412846858,26.701258548930248,28.75143381921421,26.701258548930248,34.01779053867282
71,71,22.46516141630434,26.73839595145896,27.06937443644455,26.73839595145896,33.866824577755054
72,72,22.724303879473425,26.679045471804034,23.81229649158241,26.679045471804034,23.554033478178436
73,73,33.69199117476874,26.62487092944334,24.783952815318557,26.62487092944334,32.59498873920782
74,74,23.060576488796237,26.72037255438017,18.375094725448285,26.72037255438017,15.586239741635604
75,75,21.54659272632395,26.671575273505717,25.924274001212424,26.671575273505717,32.28562670867884
76,76,14.02992641692195,26.604141292621748,13.207892621844781,26.604141292621748,15.908350268385453
77,77,17.552075183347966,26.44083980072954,19.43257106594421,26.44083980072954,15.896234768023506
78,78,42.24416255384799,26.32688127999388,26.938409220052144,26.32688127999388,31.347060979619116
79,79,10.973287683194298,26.52836585308064,19.328144276810733,26.52836585308064,15.99422155018231
80,80,21.7124008136804,26.33392737595706,26.320259514785548,26.33392737595706,31.17598421078822
81,81,26.158365927730703,26.276871492472164,28.876628082218254,26.276871492472164,30.367549695524072
82,82,41.65190732397231,26.275426302658243,27.266480871863877,26.275426302658243,30.394472394254798
